sqft,homeType,beds,parkingSpots,lotSize,baths,listPrice,heating_system,cooling_system,view_type,architecture_style,yearBuilt,has_pool,city,address,tax
1434.0,Single Family Residential,3,2.0,4090.0,2,360000,Forced Air (Natural Gas),Central A/C,,English,1957.0,,Chicago,4533 North LAPORTE Avenue,4592.0
1500.0,Single Family Residential,3,2.0,3088.0,2,374000,,Central A/C,,Colonial,1922.0,,Chicago,5212 North Liano Avenue,5423.58
1748.0,Single Family Residential,3,2.0,3093.0,2,365000,Forced Air (Natural Gas),Central A/C,,Other,2010.0,,Chicago,3900 West Congress Parkway,3062.39
720.0,Condo/Coop,1,1.0,,1,279900,Forced Air,Central A/C,,High Rise,2001.0,,Chicago,600 North Dearborn Street #1406,4186.71
851.0,Condo/Coop,1,1.0,,1,265000,,Central A/C,,High Rise,1966.0,,Chicago,260 East Chestnut Street #1402,3877.97
850.0,Condo/Coop,1,1.0,,1,238000,Forced Air (Electric),Central A/C,,High Rise,1963.0,,Chicago,260 East Chestnut Street #602,4566.97
850.0,Condo/Coop,1,1.0,,1,249000,Forced Air,Central A/C,,High Rise,1989.0,,Chicago,440 North Wabash Avenue #4704,5954.0
860.0,Condo/Coop,1,1.0,,1,284900,Fireplace,Central A/C,,High Rise,2008.0,,Chicago,849 North Franklin Street #1002,5334.58
750.0,Condo/Coop,1,,,1,225000,Forced Air (Natural Gas),Central A/C,,High Rise,1972.0,,Chicago,100 East Walton Street #25E,4547.16
750.0,Condo/Coop,1,,1168.0,1,254900,Fireplace (Natural Gas),Central A/C,,High Rise,1972.0,,Chicago,100 East Walton Street #25H,4460.0
1092.0,Single Family Residential,2,2.0,4312.0,2,324000,Hot Water,Window Unit(s) A/C,,Other,1926.0,,Chicago,5745 West Wilson Avenue,3020.0
1400.0,Condo/Coop,3,1.0,,2,319900,Forced Air (Natural Gas),Central A/C,,Other,2004.0,,Chicago,4044 North Kedvale Avenue #2A,5137.0
1200.0,Single Family Residential,3,2.0,3920.0,1,324900,,Central A/C,,Other,1948.0,,Chicago,5636 South Rutherford Avenue,2053.87
1641.0,Single Family Residential,4,2.0,3123.0,2,195000,,Central A/C,,Ranch,1961.0,,Chicago,7159 South Damen Avenue,1704.03
2216.0,Single Family Residential,4,2.0,4051.0,2,469900,,Central A/C,,Other,1929.0,,Chicago,4525 North Mobile Avenue,6243.58
1709.0,Single Family Residential,3,2.0,,2,270000,Fireplace (Natural Gas),Central A/C,,Other,1956.0,,Chicago,11801 South Campbell Avenue,2369.0
2702.0,Single Family Residential,4,2.0,7144.0,3,489900,Radiant,Central A/C,,New Traditional,1910.0,,Chicago,2004 West 101st Place,7928.52
700.0,Condo/Coop,2,,,1,175000,Hot Water (Natural Gas),Window Unit(s) A/C,,Other,1937.0,,Chicago,5455 South Ingleside Avenue #2E,2690.82
1409.0,Single Family Residential,2,1.0,3877.0,1,400000,Forced Air (Natural Gas),Central A/C,,Bungalow,1919.0,,Chicago,5144 North Bernard Street,6135.0
1335.0,Condo/Coop,2,1.0,,2,330000,Forced Air (Natural Gas),Central A/C,,Other,2008.0,,Chicago,2409 West Catalpa Avenue #308,2683.38
1100.0,Single Family Residential,2,1.0,,2,215000,Baseboard (Natural Gas),Window Unit(s) A/C,,Other,1969.0,,Chicago,4231 North Kedvale Avenue #1C,2655.93
2200.0,Single Family Residential,3,2.0,3398.0,2,275000,,Central A/C,,Georgian,1944.0,,Chicago,8158 South Fairfield Avenue,1200.24
1100.0,Condo/Coop,2,2.0,,1,235000,Forced Air (Natural Gas),Central A/C,,Other,,,Chicago,2441 West Harrison Street #2,2544.96
845.0,Condo/Coop,1,1.0,,1,320000,,Central A/C,,High Rise,2003.0,,Chicago,125 South Jefferson Street #3110,4732.29
1600.0,Single Family Residential,4,2.0,3724.0,2,209000,,Central A/C,,Other,2006.0,,Chicago,1501 South Ridgeway Avenue,2717.92
1072.0,Single Family Residential,2,2.0,5001.0,1,220000,Forced Air (Natural Gas),Central A/C,,Georgian,1947.0,,Chicago,3720 West 82nd Street,3360.26
1000.0,Condo/Coop,1,,,1,315000,Forced Air (Natural Gas),Central A/C,,Other,,,Chicago,717 North Paulina Street #1,5044.82
1515.0,Single Family Residential,4,2.0,4400.0,2,245900,Forced Air (Natural Gas),Central A/C,,Other,1925.0,,Chicago,10728 South Hale Avenue,3621.8
1400.0,Single Family Residential,4,2.0,3790.0,2,239000,,Central A/C,,Other,1958.0,,Chicago,10725 South Eberhart Avenue,1137.39
1182.0,Condo/Coop,2,1.0,,2,360000,,Central A/C,,Other,2008.0,,Chicago,437 West Division Street #803,3568.74
1173.0,Single Family Residential,3,2.0,3781.0,1,285000,Hot Water,Window Unit(s) A/C,,Other,1954.0,,Chicago,4544 North Moody Avenue,4054.0
2496.0,Single Family Residential,4,2.0,3093.0,3,669000,,Central A/C,,Other,1905.0,,Chicago,3142 North Christiana Avenue,5083.46
1250.0,Condo/Coop,2,1.0,,2,330000,,Central A/C,,Other,2004.0,,Chicago,1601 South State Street #4H,5718.86
1180.0,Condo/Coop,2,1.0,,2,299000,Baseboard (Electric),Window Unit(s) A/C,,High Rise,1920.0,,Chicago,1211 North LASALLE Street #1502,5788.5
1600.0,Single Family Residential,3,2.0,5053.0,2,263000,,Central A/C,,Split Level,1966.0,,Chicago,2701 West Seipp Street,1929.9
1209.0,Single Family Residential,2,2.0,8930.0,2,250000,Forced Air (Natural Gas),Central A/C,,Other,1890.0,,Chicago,6428 West Dakin Street,4731.71
1017.0,Single Family Residential,2,2.0,3790.0,1,275000,Forced Air (Natural Gas),Central A/C,,Bungalow,1930.0,,Chicago,6108 West Newport Avenue,2001.4
1108.0,Single Family Residential,2,1.0,4443.0,2,259000,,Central A/C,,Ranch,1956.0,,Chicago,10033 South Fairfield Avenue,3503.0
525.0,Condo/Coop,0,,,1,178900,Forced Air (Natural Gas),Central A/C,,High Rise,2002.0,,Chicago,222 North Columbus Drive #1211,3570.0
1056.0,Single Family Residential,2,2.0,,2,85000,,None,,Other,1946.0,,Chicago,9352 South Green Street,
2654.0,Single Family Residential,3,2.0,4373.0,2,425000,,Central A/C,,Bungalow,1920.0,,Chicago,2325 West Lunt Avenue,3130.75
750.0,Condo/Coop,1,,,1,100000,,Central A/C,,Other,1970.0,,Chicago,6301 North Sheridan Road #8P,1989.0
750.0,Condo/Coop,1,,,1,175000,Forced Air (Natural Gas),Central A/C,,Other,1930.0,,Chicago,2542 North Kedzie Avenue #G9,3836.0
800.0,Condo/Coop,1,1.0,,1,169900,,Central A/C,,Other,1928.0,,Chicago,2018 North SPAULDING Avenue #2-W,3038.31
850.0,Condo/Coop,1,,,1,185000,Radiator,Central A/C,,High Rise,1963.0,,Chicago,5701 North Sheridan Road #24E,1888.14
890.0,Condo/Coop,1,,,1,215000,Radiator,None,,Other,1923.0,,Chicago,1014 West Barry Avenue #3,3438.94
700.0,Condo/Coop,1,1.0,,1,154900,Zoned,Central A/C,,Other,1973.0,,Chicago,5415 North Sheridan Road #4715,2086.77
2075.0,Single Family Residential,2,2.0,3790.0,1,355000,Forced Air (Natural Gas),Central A/C,,Bungalow,1922.0,,Chicago,4928 North Tripp Avenue,5373.0
1200.0,Single Family Residential,3,2.0,3751.0,2,230000,Forced Air (Natural Gas),Central A/C,,Other,1944.0,,Chicago,8617 South Bennett Avenue,1238.28
1258.0,Single Family Residential,3,1.0,4125.0,2,325000,Forced Air (Natural Gas),Central A/C,,Bungalow,1922.0,,Chicago,6246 West Warwick Avenue,4773.0
900.0,Single Family Residential,2,2.0,3790.0,1,250000,,Central A/C,,Other,1953.0,,Chicago,5919 South Karlov Avenue,1430.92
1109.0,Single Family Residential,3,2.0,3136.0,2,499000,Forced Air (Natural Gas),Central A/C,,Bungalow,1929.0,,Chicago,3603 South Leavitt Street,2362.59
1584.0,Single Family Residential,4,2.0,5201.0,2,299900,Forced Air (Natural Gas),Central A/C,,Other,1900.0,,Chicago,5915 West Huron Street,2919.57
,Single Family Residential,3,2.0,,2,250000,,Central A/C,,Cape Cod,1957.0,,Chicago,8626 South Calumet Avenue,1937.05
1050.0,Condo/Coop,2,,,1,255000,Forced Air (Natural Gas),Central A/C,,Loft,1908.0,,Chicago,900 South WABASH Avenue #706,4685.06
1200.0,Condo/Coop,2,,,1,320000,Forced Air (Natural Gas),Central A/C,,Other,1986.0,,Chicago,621 South Plymouth Court #302,5124.3
1400.0,Single Family Residential,3,,4356.0,2,189000,,Central A/C,,Other,1946.0,,Chicago,12048 South Harvard Avenue,1235.18
1060.0,Single Family Residential,3,2.0,3615.0,2,215000,,Central A/C,,Ranch,1958.0,,Chicago,9658 South Calumet Avenue,2433.76
1080.0,Single Family Residential,3,,4648.0,2,215999,Forced Air (Natural Gas),Central A/C,,Ranch,1948.0,,Chicago,10033 South Calhoun Avenue,1694.46
1000.0,Single Family Residential,3,2.0,3746.0,2,212000,,Central A/C,,Other,1965.0,,Chicago,11712 South Bishop Street,
1056.0,Single Family Residential,3,,,3,390000,Forced Air (Natural Gas),None,,Other,,,Chicago,2734 West Nelson Street,6068.33
899.0,Single Family Residential,2,1.0,4008.0,2,289900,Forced Air (Natural Gas),Central A/C,,Ranch,1956.0,,Chicago,3249 North Oriole Avenue,3566.96
1200.0,Condo/Coop,3,1.0,,1,389000,Fireplace (Natural Gas),Central A/C,,Other,2002.0,,Chicago,525 North Marshfield Avenue #1,2700.0
1596.0,Single Family Residential,4,2.0,3267.0,3,273000,Forced Air (Natural Gas),None,,Other,1913.0,,Chicago,141 North Laramie Avenue,2819.53
628.0,Single Family Residential,2,1.0,,1,170000,,None,,Bungalow,1927.0,,Chicago,5343 South Christiana Avenue,
1700.0,Single Family Residential,4,2.0,5062.0,2,265000,,Central A/C,,Bungalow,1927.0,,Chicago,10718 South Hale Avenue,3078.0
2500.0,Single Family Residential,4,2.0,3136.0,3,695000,,Central A/C,,Other,1890.0,,Chicago,839 North Francisco Avenue,1392.07
2021.0,Single Family Residential,3,1.0,,2,390000,,Central A/C,,English,,,Chicago,5713 North Moody Avenue,7602.43
1008.0,Single Family Residential,3,2.0,4356.0,1,309900,,Central A/C,,Ranch,1955.0,,Chicago,5303 North Meade Avenue,4584.44
1315.0,Single Family Residential,3,2.0,3833.0,1,279900,,Central A/C,,Other,1944.0,,Chicago,4725 North Lavergne Avenue,4592.0
,Single Family Residential,3,2.0,,2,725000,Hot Water,Central A/C,,Other,,,Chicago,2423 North Bernard Street,9122.26
1408.0,Single Family Residential,2,2.0,2962.0,2,79975,Hot Water (Natural Gas),None,,Other,1912.0,,Chicago,7426 South Saint Lawrence Avenue,831.26
546.0,Single Family Residential,2,,,1,62000,,Central A/C,,Other,1920.0,,Chicago,7942 South Burnham Avenue,
1000.0,Condo/Coop,2,1.0,,1,297000,,Central A/C,,Other,2008.0,,Chicago,2230 West Madison Street #302,2465.35
1764.0,Single Family Residential,3,2.0,6142.0,3,325000,,Central A/C,,Other,1959.0,,Chicago,8545 South Sacramento Avenue South,2257.01
1200.0,Single Family Residential,4,3.0,3136.0,2,199999,,Central A/C,,Other,1895.0,,Chicago,1451 South Kedvale Avenue,1221.14
1295.0,Single Family Residential,4,2.0,3868.0,2,234900,Forced Air (Natural Gas),Central A/C,,Other,1895.0,,Chicago,1852 South Avers Avenue,742.46
1463.0,Single Family Residential,4,2.0,3781.0,2,299900,,Central A/C,,Bungalow,1923.0,,Chicago,1037 South Mason Avenue,1794.29
1080.0,Townhouse,2,1.0,2091.0,1,85000,Baseboard (Natural Gas),None,,Other,1967.0,,Chicago,8023 South Emerald Avenue,1039.61
725.0,Condo/Coop,1,100.0,,1,205000,,Window Unit(s) A/C,,Other,1965.0,,Chicago,300 North State Street #2406,4110.85
912.0,Single Family Residential,4,2.0,3572.0,2,290000,Forced Air (Natural Gas),Central A/C,,Other,1924.0,,Chicago,3549 West Evergreen Avenue,2728.99
1432.0,Single Family Residential,4,2.0,4704.0,2,259000,,Window Unit(s) A/C,,Other,1918.0,,Chicago,5042 West Eddy Street North West,5580.97
1992.0,Single Family Residential,4,2.0,9017.0,3,439000,,Central A/C,,Other,1880.0,,Chicago,10759 South Longwood Drive,4453.0
670.0,Condo/Coop,1,,,1,99900,Baseboard,Window Unit(s) A/C,,Other,1953.0,,Chicago,4980 North Marine Drive #231,1074.0
700.0,Condo/Coop,1,1.0,,1,123000,Forced Air (Natural Gas),Central A/C,,Other,1979.0,,Chicago,3449 West Bryn Mawr Avenue #1W,935.63
900.0,Condo/Coop,2,1.0,,1,239900,,Window Unit(s) A/C,,Other,,,Chicago,2221 West Cortland Street #1,3865.21
817.0,Condo/Coop,2,,,1,224900,Fireplace (Natural Gas),Central A/C,,Other,1920.0,,Chicago,1151 West 15th Street #204,3685.11
2507.0,Townhouse,4,2.0,,4,529900,Forced Air (Natural Gas),Central A/C,,Other,2010.0,,Chicago,955 West 37th Street #5,8852.0
1900.0,Single Family Residential,4,2.0,3751.0,2,647500,Hot Water,Window Unit(s) A/C,,Bungalow,1921.0,,Chicago,4827 North Washtenaw Avenue,2566.0
840.0,Single Family Residential,3,2.0,,2,387000,Forced Air (Natural Gas),Central A/C,,Ranch,1957.0,,Chicago,5412 North Sayre Avenue,3998.84
960.0,Single Family Residential,3,2.0,3615.0,2,344900,Forced Air (Natural Gas),Central A/C,,Ranch,1955.0,,Chicago,5431 North Newcastle Avenue,4605.91
1062.0,Single Family Residential,3,2.0,4095.0,2,279900,Forced Air (Natural Gas),Central A/C,,Bungalow,1955.0,,Chicago,2547 West 118th Place,2721.68
,Single Family Residential,2,2.0,3136.0,2,309900,Forced Air (Natural Gas),Central A/C,,Ranch,1958.0,,Chicago,5511 North Central Avenue,3848.0
1268.0,Single Family Residential,3,1.0,4469.0,2,200000,,Central A/C,,Georgian,1945.0,,Chicago,3622 West 87th Street,2600.0
800.0,Single Family Residential,1,,,1,125000,Baseboard,Window Unit(s) A/C,,Ranch,1966.0,,Chicago,1545 West Chase Avenue #107,744.74
,Condo/Coop,2,1.0,,1,319000,Other (Natural Gas),Central A/C,,Other,,,Chicago,846 North WOLCOTT Avenue #2E,2887.25
1400.0,Single Family Residential,4,2.0,3751.0,2,239900,Fireplace (Natural Gas),Window Unit(s) A/C,,Bungalow,1924.0,,Chicago,7606 South Marshfield Avenue,1600.41
1776.0,Single Family Residential,3,2.0,,2,304900,Forced Air (Natural Gas),Central A/C,,Ranch,1952.0,,Chicago,6610 West Wellington Avenue,3782.0
1775.0,Single Family Residential,4,2.0,3720.0,2,220000,,Central A/C,,Cape Cod,1951.0,,Chicago,8154 South Lafayette Avenue,1750.9
1040.0,Single Family Residential,3,2.0,4143.0,2,230000,Forced Air (Natural Gas),Central A/C,,Split Level,1966.0,,Chicago,1359 West 115th Street,1668.7
1900.0,Single Family Residential,4,2.0,2744.0,2,245888,,Window Unit(s) A/C,,Other,,,Chicago,2881 South Throop Street,2628.67
900.0,Single Family Residential,2,,3093.0,1,119900,Space Heater,None,,Other,1890.0,,Chicago,1521 North Lawndale Avenue,2072.65
1177.0,Single Family Residential,2,,3746.0,1,135900,Hot Water (Natural Gas),None,,Other,1925.0,,Chicago,1654 East 84th Street,1201.48
1750.0,Single Family Residential,3,2.0,,2,339900,,None,,Ranch,1962.0,,Chicago,4830 West School Street,4862.0
1083.0,Condo/Coop,3,1.0,2677.0,2,359900,Fireplace (Natural Gas),Central A/C,,Other,2004.0,,Chicago,1333 North Bosworth Avenue #2,3502.68
2400.0,Single Family Residential,4,2.0,4051.0,2,264900,Baseboard,None,,Bungalow,1927.0,,Chicago,7945 South Chappel Avenue,1596.07
1300.0,Condo/Coop,3,1.0,,2,400000,,Central A/C,,Other,,,Chicago,1053 North Milwaukee Avenue #B,4139.28
2478.0,Single Family Residential,3,2.0,4008.0,3,475000,Forced Air (Natural Gas),Central A/C,,Split Level,1998.0,,Chicago,7027 West 64th Place,4957.01
2000.0,Single Family Residential,4,2.0,7231.0,2,499000,Forced Air,Central A/C,,Other,1954.0,,Chicago,2939 West Ardmore Avenue,10468.0
1500.0,Single Family Residential,3,2.0,,2,150000,Baseboard (Natural Gas),Window Unit(s) A/C,,Bungalow,,,Chicago,2935 West 86th Place,3124.0
1254.0,Single Family Residential,3,2.0,4356.0,1,299900,Forced Air (Natural Gas),Central A/C,,Ranch,1959.0,,Chicago,5759 South Menard Avenue,2423.11
,Single Family Residential,4,1.0,1734.0,3,2190000,Baseboard,Zoned A/C,,Other,1870.0,,Chicago,60 East Elm Street,41052.14
898.0,Single Family Residential,2,,3123.0,1,140000,,None,,Other,1918.0,,Chicago,7333 South Paulina Street,587.0
1131.0,Single Family Residential,2,2.0,3746.0,1,199900,Forced Air (Natural Gas),Central A/C,,Other,1957.0,,Chicago,5359 South Hoyne Avenue,1968.98
1100.0,Single Family Residential,3,2.0,4879.0,2,339995,,Central A/C,,Other,1956.0,,Chicago,5984 North Elston Avenue,5149.34
2448.0,Single Family Residential,4,2.0,1777.0,2,869900,Forced Air (Natural Gas),Central A/C,,Victorian,1886.0,,Chicago,2242 North Bissell Street,17774.62
840.0,Single Family Residential,2,,5083.0,1,145000,Radiator,,,Other,1916.0,,Chicago,9053 South bishop Street,2159.0
,Condo/Coop,3,1.0,,2,199000,Radiator,Window Unit(s) A/C,,High Rise,1957.0,,Chicago,3950 North Lake Shore Drive #2020,2752.62
1000.0,Single Family Residential,2,2.0,3136.0,2,89000,,None,,Other,1929.0,,Chicago,6932 South Wolcott Avenue,1190.0
1792.0,Single Family Residential,4,2.0,4339.0,2,229900,Forced Air (Natural Gas),Central A/C,,Other,1937.0,,Chicago,12426 South Harvard Avenue,2038.76
1538.0,Single Family Residential,4,1.0,6251.0,2,225000,Forced Air (Natural Gas),Central A/C,,Ranch,1952.0,,Chicago,9255 South Justine Street,4406.0
1785.0,Single Family Residential,4,2.0,,3,379900,,Central A/C,,Tudor,1953.0,,Chicago,3242 North Nordica Avenue,4829.0
1542.0,Single Family Residential,4,2.0,5009.0,3,379900,Forced Air (Natural Gas),Central A/C,,Tudor,1944.0,,Chicago,6951 West Barry Avenue,5087.51
957.0,Single Family Residential,2,2.0,,2,335000,Forced Air (Natural Gas),Central A/C,,Cape Cod,1951.0,,Chicago,5316 North Meade Avenue,5166.85
,Single Family Residential,3,2.0,4134.0,2,180000,Forced Air (Natural Gas),Central A/C,,Bungalow,1920.0,,Chicago,4039 North Kenneth Avenue,7209.17
1064.0,Single Family Residential,3,2.0,3001.0,2,415000,Forced Air,Central A/C,,Bungalow,1971.0,,Chicago,3331 South Aberdeen Street,6114.94
1214.0,Single Family Residential,2,2.0,3193.0,2,259000,Forced Air (Natural Gas),Central A/C,,Georgian,,,Chicago,6466 West Bloomingdale Avenue,4371.07
705.0,Condo/Coop,1,1.0,,1,199000,Forced Air (Natural Gas),Central A/C,,High Rise,2008.0,,Chicago,1720 South Michigan Avenue #1217,3150.66
700.0,Condo/Coop,1,,,1,199000,Forced Air (Electric),Window Unit(s) A/C,,Other,1963.0,,Chicago,222 East Pearson Street #2303,3120.0
1850.0,Condo/Coop,3,2.0,,2,499900,Fireplace (Natural Gas),Central A/C,,Other,2002.0,,Chicago,2047 West Belmont Avenue #4,7356.41
1083.0,Single Family Residential,4,2.0,3746.0,2,239900,,Central A/C,,Ranch,,,Chicago,7311 South Wolcott Avenue,1088.56
1500.0,Single Family Residential,2,2.0,3149.0,2,325000,,None,,Other,,,Chicago,4018 North Drake Avenue,1126.96
3981.0,Single Family Residential,4,2.0,12545.0,3,799900,Hot Water (Natural Gas),Partial,,Other,1926.0,,Chicago,10162 South Longwood Drive,10673.27
,Condo/Coop,2,,,1,279900,Fireplace (Natural Gas),Central A/C,,Other,2007.0,,Chicago,685 North PEORIA Street #G,2846.67
2700.0,Condo/Coop,4,1.0,,3,479000,,Central A/C,,Other,,,Chicago,928 East HYDE PARK Boulevard #1,6027.37
1409.0,Single Family Residential,4,3.0,3123.0,2,249900,Forced Air (Natural Gas),Central A/C,,Bungalow,1922.0,,Chicago,3409 West 60th Place,662.41
1442.0,Single Family Residential,4,2.0,6151.0,2,285000,Forced Air (Natural Gas),Central A/C,,Other,1929.0,,Chicago,11441 South PRINCETON Avenue,605.58
,Single Family Residential,4,2.0,,2,525000,,Central A/C,,Bungalow,1924.0,,Chicago,3624 North Hamlin Avenue,4769.0
1365.0,Condo/Coop,3,1.0,,2,419000,Forced Air (Natural Gas),Central A/C,,Other,2006.0,,Chicago,1153 West Washburne Avenue #301,4291.11
600.0,Single Family Residential,1,2.0,25081.0,1,115000,,Window Unit(s) A/C,,Other,1961.0,,Chicago,7544 North Bell Avenue #2D,1411.62
2034.0,Single Family Residential,3,2.0,,2,179000,,Central A/C,,Bungalow,1957.0,,Chicago,8030 South Saginaw Avenue,
,Single Family Residential,4,2.0,4373.0,2,379000,Baseboard (Natural Gas),Window Unit(s) A/C,,Other,1918.0,,Chicago,5628 West Patterson Avenue,2507.0
949.0,Single Family Residential,2,2.0,4748.0,1,127999,Fireplace (Natural Gas),None,,Ranch,1948.0,,Chicago,9600 South Peoria Street,1603.0
,Single Family Residential,4,2.0,,4,995000,,Central A/C,,Other,1889.0,,Chicago,1926 West Melrose Street,13484.0
1232.0,Condo/Coop,2,2.0,,2,280000,,Central A/C,,Other,2004.0,,Chicago,100 North Hermitage Avenue #612,1687.25
1500.0,Condo/Coop,2,1.0,,2,325000,Forced Air (Natural Gas),Central A/C,,Other,2003.0,,Chicago,2631 West Belmont Avenue #2,5180.0
1336.0,Single Family Residential,3,,,2,129000,,None,,Georgian,1947.0,,Chicago,6840 South PAULINA Street,1337.0
1549.0,Single Family Residential,4,2.0,3816.0,2,70000,,None,,Other,1926.0,,Chicago,11956 South Calumet Avenue,1856.04
,Single Family Residential,2,1.0,6229.0,2,229900,,Central A/C,,Other,1897.0,True,Chicago,10922 South Troy Street,4023.5
,Single Family Residential,2,2.0,,2,295000,Forced Air (Natural Gas),Central A/C,,Other,,,Chicago,5754 South NEW ENGLAND Avenue,3949.0
1700.0,Condo/Coop,3,1.0,,2,474900,Forced Air (Natural Gas),Central A/C,,Other,2002.0,,Chicago,4051 North Damen Avenue #2,7342.04
900.0,Single Family Residential,3,,,1,79900,,None,,Ranch,1936.0,,Chicago,10746 South Loomis Street,1613.5
2018.0,Single Family Residential,3,,,3,245000,Forced Air (Natural Gas),Central A/C,,Other,2004.0,,Chicago,6733 South Langley Avenue,4884.8
,Single Family Residential,2,2.0,3136.0,2,399000,Radiator (Natural Gas),Window Unit(s) A/C,,Other,1895.0,,Chicago,3420 West Shakespeare Avenue,6533.29
2025.0,Single Family Residential,4,1.0,4251.0,2,164900,Hot Water (Natural Gas),None,,Bungalow,1910.0,,Chicago,7700 South Paxton Avenue,3553.93
1000.0,Condo/Coop,2,1.0,,2,375000,Forced Air (Natural Gas),Central A/C,,Other,2004.0,,Chicago,873 North Larrabee Street #205,5190.72
3800.0,Single Family Residential,4,2.0,5225894.0,4,710000,Forced Air (Natural Gas),Central A/C,,Other,2020.0,,Chicago,505 East 43rd Street,2733.0
1603.0,Single Family Residential,4,2.0,3790.0,2,397000,Fireplace (Natural Gas),Central A/C,,Bungalow,1949.0,,Chicago,3618 North Sayre Avenue,4929.0
3127.0,Single Family Residential,4,2.0,3751.0,3,419000,Forced Air (Natural Gas),Central A/C,,Bungalow,1931.0,,Chicago,2024 North Newcastle Avenue,4285.45
1773.0,Single Family Residential,4,2.0,3746.0,2,355000,Forced Air (Natural Gas),Zoned A/C,,Other,1922.0,,Chicago,4045 North Moody Avenue,6203.2
1400.0,Single Family Residential,2,2.0,,2,205900,,Central A/C,,Other,1956.0,,Chicago,10951 South Eberhart Avenue,1542.0
1200.0,Single Family Residential,4,2.0,3764.0,2,69900,,None,,Other,,,Chicago,11007 South State Street,1730.9
2663.0,Single Family Residential,4,2.0,1394.0,4,1025000,Fireplace (Natural Gas),Central A/C,,Victorian,1890.0,,Chicago,2115 North Clark Street,20272.9
1104.0,Single Family Residential,2,2.0,,1,120000,Forced Air,Central A/C,,Other,1908.0,,Chicago,7537 South Parnell Avenue,1882.35
2000.0,Single Family Residential,4,2.0,6316.0,3,249999,,Central A/C,,Georgian,1951.0,,Chicago,9532 South Wentworth Avenue,2720.78
1000.0,Single Family Residential,4,2.0,3075.0,2,179000,Forced Air (Natural Gas),Central A/C,,Split Level,1975.0,,Chicago,6620 South Winchester Avenue,
1600.0,Condo/Coop,3,1.0,,2,424900,Forced Air (Natural Gas),Central A/C,,Other,2000.0,,Chicago,2314 West Moffat Street #3,8414.03
1700.0,Condo/Coop,3,2.0,,2,372000,Forced Air,Zoned A/C,,Other,1958.0,,Chicago,5801 North Sheridan Road #14A,3029.05
,Single Family Residential,4,,3115.0,2,249900,Forced Air (Natural Gas),None,,Other,1891.0,,Chicago,8715 South Honore Street,1874.0
1608.0,Single Family Residential,3,1.0,3751.0,2,200000,,Central A/C,,Other,1942.0,,Chicago,8230 South Fairfield Avenue,2805.59
943.0,Single Family Residential,2,2.0,5166.0,2,125000,Forced Air (Natural Gas),None,,Other,1924.0,,Chicago,7915 South MICHIGAN Avenue,1046.23
1669.0,Single Family Residential,3,1.0,1568.0,2,369900,Baseboard,Window Unit(s) A/C,,Other,1952.0,,Chicago,2713 West Balmoral Avenue,5470.04
,Single Family Residential,3,2.0,4060.0,2,469000,Forced Air (Natural Gas),Central A/C,,Bungalow,1906.0,,Chicago,5841 West BYRON Street,4701.87
2900.0,Single Family Residential,3,2.0,4199.0,2,514900,Forced Air (Natural Gas),Central A/C,,Other,1912.0,,Chicago,3744 North Central Park Avenue,5358.0
1200.0,Single Family Residential,4,3.0,4356.0,1,100000,,None,,Bungalow,1951.0,,Chicago,8041 South Yale Avenue,1522.62
